"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1956-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.65","","","","2"
"1956-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.65","","","","2"
"1957-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.70","","","","2"
"1957-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1957-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1957-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1957-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1957-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.85","","","","2"
"1957-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.85","","","","2"
"1957-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.90","","","","2"
"1957-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1957-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1957-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1957-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.95","","","","2"
"1958-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.95","","","","2"
"1958-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.90","","","","2"
"1958-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.80","","","","2"
"1958-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1958-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1958-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1958-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1958-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1958-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.75","","","","2"
"1958-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.80","","","","2"
"1958-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.80","","","","2"
"1958-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.80","","","","2"
"1959-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.85","","","","2"
"1959-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.85","","","","2"
"1959-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.85","","","","2"
"1959-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.80","","","","2"
"1959-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.80","","","","2"
"1959-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.85","","","","2"
"1959-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.85","","","","2"
"1959-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.95","","","","2"
"1959-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.20","","","","2"
"1959-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.20","","","","2"
"1959-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.25","","","","2"
"1959-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.25","","","","2"
"1960-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.30","","","","2"
"1960-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.30","","","","2"
"1960-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.30","","","","2"
"1960-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.30","","","","2"
"1960-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.25","","","","2"
"1960-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.25","","","","2"
"1960-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.15","","","","2"
"1960-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.15","","","","2"
"1960-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.10","","","","2"
"1960-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1960-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1960-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1961-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.90","","","","2"
"1962-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.80","","","","2"
"1962-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.95","","","","2"
"1962-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1962-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1963-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1963-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1963-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1963-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.94","","","","2"
"1963-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.91","","","","2"
"1963-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.91","","","","2"
"1963-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.91","","","","2"
"1963-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1963-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1963-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1963-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1963-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1964-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1964-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1964-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1964-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.95","","","","2"
"1964-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.88","","","","2"
"1964-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.88","","","","2"
"1964-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.88","","","","2"
"1964-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1964-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1964-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1964-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1964-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.00","","","","2"
"1965-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.90","","","","2"
"1965-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.85","","","","2"
"1965-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.82","","","","2"
"1965-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.82","","","","2"
"1965-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.83","","","","2"
"1965-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","6.83","","","","2"
"1965-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.02","","","","2"
"1965-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.13","","","","2"
"1965-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.15","","","","2"
"1965-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.25","","","","2"
"1965-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.29","","","","2"
"1965-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.40","","","","2"
"1966-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.38","","","","2"
"1966-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.45","","","","2"
"1966-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.46","","","","2"
"1966-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.48","","","","2"
"1966-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.51","","","","2"
"1966-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.57","","","","2"
"1966-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.68","","","","2"
"1966-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.80","","","","2"
"1966-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.84","","","","2"
"1966-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.87","","","","2"
"1966-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.91","","","","2"
"1966-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.95","","","","2"
"1967-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.93","","","","2"
"1967-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.89","","","","2"
"1967-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.83","","","","2"
"1967-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.80","","","","2"
"1967-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.77","","","","2"
"1967-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","7.88","","","","2"
"1967-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.02","","","","2"
"1967-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.05","","","","2"
"1967-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.10","","","","2"
"1967-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.49","","","","2"
"1967-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.52","","","","2"
"1967-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.52","","","","2"
"1968-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.83","","","","2"
"1968-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.84","","","","2"
"1968-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.96","","","","2"
"1968-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.20","","","","2"
"1968-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.23","","","","2"
"1968-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.18","","","","2"
"1968-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.14","","","","2"
"1968-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.12","","","","2"
"1968-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.03","","","","2"
"1968-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.01","","","","2"
"1968-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.09","","","","2"
"1968-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.10","","","","2"
"1969-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.45","","","","2"
"1969-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.45","","","","2"
"1969-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.48","","","","2"
"1969-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.52","","","","2"
"1969-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.46","","","","2"
"1969-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.69","","","","2"
"1969-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.90","","","","2"
"1969-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.99","","","","2"
"1969-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.11","","","","2"
"1969-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.21","","","","2"
"1969-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.30","","","","2"
"1969-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.50","","","","2"
"1970-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.58","","","","2"
"1970-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.54","","","","2"
"1970-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.58","","","","2"
"1970-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.60","","","","2"
"1970-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.58","","","","2"
"1970-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.53","","","","2"
"1970-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.38","","","","2"
"1970-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.40","","","","2"
"1970-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.36","","","","2"
"1970-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.35","","","","2"
"1970-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.28","","","","2"
"1970-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.16","","","","2"
"1971-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.94","","","","2"
"1971-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.72","","","","2"
"1971-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.28","","","","2"
"1971-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.20","","","","2"
"1971-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.25","","","","2"
"1971-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.34","","","","2"
